City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Pacific Grove,US,59.0,clear sky,36.6177,-121.9166,Lovers Point Inn
2,Rikitea,PF,76.98,light rain,-23.1203,-134.9692,Pension Maro'i
4,Vaini,TO,75.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
5,Hobart,AU,55.4,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
7,Bredasdorp,ZA,66.2,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
8,Punta Arenas,CL,50.0,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
10,Constitucion,CL,62.1,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
11,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
12,Kapaa,US,75.2,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
13,Kavieng,PG,79.36,light rain,-2.5744,150.7967,Nusa Island Retreat
17,Alghero,IT,57.2,clear sky,40.5589,8.3181,Villa Las Tronas Hotel & Spa
23,Celestun,MX,78.39,scattered clouds,20.8667,-90.4,Posada Lilia
24,Port Elizabeth,ZA,66.2,broken clouds,-33.918,25.5701,39 On Nile Guest House
27,Bethel,US,59.0,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
29,Ponta Do Sol,PT,63.0,overcast clouds,32.6667,-17.1,Hotel do Campo
30,Saint George,US,79.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
31,San Patricio,US,78.01,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
32,Trat,TH,79.0,overcast clouds,12.5,102.5,สวนหนิง-อัศ
33,Umm Lajj,SA,74.97,clear sky,25.0213,37.2685,Moon light Furnished Units
36,Mayo,US,70.0,clear sky,38.8876,-76.5119,Resorts Resource Group International
39,New Norfolk,AU,55.0,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
43,Yulara,AU,64.4,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
44,Hermanus,ZA,64.99,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
47,Hilo,US,71.6,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
48,East London,ZA,66.2,clear sky,-33.0153,27.9116,Tu Casa
49,Bandarbeyla,SO,79.52,scattered clouds,9.4942,50.8122,JABIR HOTEL
50,Busselton,AU,62.01,clear sky,-33.65,115.3333,Observatory Guest House
53,Kaitangata,NZ,61.0,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
55,Moron,AR,78.8,few clouds,-34.6534,-58.6198,Hotel Morón
56,Vila,PT,71.01,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
57,Mormugao,IN,78.82,clear sky,15.4,73.8,Coconut Creek Resort
58,Mataura,NZ,57.0,overcast clouds,-46.1927,168.8643,Ellie's Villa
65,Alice Springs,AU,57.2,clear sky,-23.7,133.8833,Desert Palms Alice Springs
66,Cockburn Town,TC,77.0,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
68,Pisco,PE,78.8,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
71,Auki,SB,77.85,overcast clouds,-8.7676,160.7034,Auki Motel
73,Montepuez,MZ,69.01,scattered clouds,-13.1256,38.9997,Complexo Messalo
74,Meulaboh,ID,76.66,overcast clouds,4.1363,96.1285,Kost Pria
76,Bluff,NZ,57.0,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
78,Macia,MZ,66.31,clear sky,-25.0269,33.0989,Tuck shop my life dcoza
79,Victoria,HK,73.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
82,Katsuura,JP,66.2,heavy intensity rain,35.1333,140.3,Katsuura Hotel Mikazuki
88,Lebu,CL,60.71,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
89,Hosdurga,IN,77.16,few clouds,13.7981,76.2861,Manasa tailor
90,Jamestown,US,55.0,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
91,Clarence Town,AU,66.0,overcast clouds,-32.5833,151.7833,River Downs Cottage
92,Lasa,IT,57.2,clear sky,46.6166,10.7002,Pension Feldgärtenhof
