City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pacific Grove,US,36.6177,-121.9166,59.0,62,1,11.5,clear sky
1,Avarua,CK,-21.2078,-159.775,82.4,78,75,14.97,light rain
2,Rikitea,PF,-23.1203,-134.9692,76.98,69,100,16.58,light rain
3,Yellowknife,CA,62.456,-114.3525,21.0,53,20,8.05,few clouds
4,Vaini,TO,-21.2,-175.2,75.2,78,40,8.05,scattered clouds
5,Hobart,AU,-42.8794,147.3294,55.4,67,40,6.91,scattered clouds
6,Albany,US,42.6001,-73.9662,57.99,27,14,1.99,few clouds
7,Bredasdorp,ZA,-34.5322,20.0403,66.2,82,100,3.44,overcast clouds
8,Punta Arenas,CL,-53.15,-70.9167,50.0,50,0,18.41,clear sky
9,Berlevag,NO,70.8578,29.0864,33.8,93,75,5.75,light snow
10,Constitucion,CL,-35.3333,-72.4167,62.1,71,18,9.04,few clouds
11,Saint-Pierre,RE,-21.3393,55.4781,78.8,73,0,3.44,clear sky
12,Kapaa,US,22.0752,-159.319,75.2,60,75,18.41,broken clouds
13,Kavieng,PG,-2.5744,150.7967,79.36,82,100,9.08,light rain
14,Aklavik,CA,68.2191,-135.0107,-0.4,71,75,10.36,broken clouds
15,Saint-Philippe,RE,-21.3585,55.7679,80.6,78,0,4.61,clear sky
16,Mopti,ML,14.6667,-4.0,102.2,8,5,4.61,clear sky
17,Alghero,IT,40.5589,8.3181,57.2,88,0,5.75,clear sky
18,Saskylakh,RU,71.9167,114.0833,-26.81,100,25,3.27,scattered clouds
19,Ushuaia,AR,-54.8,-68.3,48.2,53,20,3.44,few clouds
20,Madras,IN,13.0878,80.2785,84.2,79,20,6.91,mist
21,Caravelas,BR,-17.7125,-39.2481,80.8,68,100,8.86,overcast clouds
22,Qaanaaq,GL,77.484,-69.3632,-11.63,68,25,6.26,scattered clouds
23,Celestun,MX,20.8667,-90.4,78.39,60,42,19.26,scattered clouds
24,Port Elizabeth,ZA,-33.918,25.5701,66.2,88,75,19.57,broken clouds
25,Rognan,NO,67.0953,15.3878,30.99,94,100,6.62,light snow
26,Engel-Yurt,RU,43.3289,46.3603,50.0,71,0,6.71,clear sky
27,Bethel,US,41.3712,-73.414,59.0,24,20,3.44,few clouds
28,Fort Nelson,CA,58.8053,-122.7002,42.8,28,20,12.66,few clouds
29,Ponta Do Sol,PT,32.6667,-17.1,63.0,79,90,3.98,overcast clouds
30,Saint George,US,37.1041,-113.5841,79.0,18,1,2.28,clear sky
31,San Patricio,US,28.017,-97.5169,78.01,60,75,12.66,broken clouds
32,Trat,TH,12.5,102.5,79.0,99,95,0.72,overcast clouds
33,Umm Lajj,SA,25.0213,37.2685,74.97,43,0,9.62,clear sky
34,Kysyl-Syr,RU,63.8986,122.7617,-24.57,99,76,3.56,broken clouds
